出表日期,年度,季別,公司代號,公司名稱,產業別,基本每股盈餘(元),普通股每股面額,營業收入,營業利益,營業外收入及支出,稅後淨利
"1100421","109","4","2493","揚博科技股份有限公司","電子零組件業","2.70","新台幣                 10.0000元","2600664.00","397524.00","-2322.00","308769.00"
"1100421","109","4","2495","普安科技股份有限公司","其他電子業","-0.24","新台幣                 10.0000元","1130547.00","-30151.00","-30271.00","-65419.00"
"1100421","109","4","2496","卓越成功股份有限公司","其他","3.30","新台幣                 10.0000元","776397.00","71543.00","12261.00","62913.00"
"1100421","109","4","2497","怡利電子工業股份有限公司","汽車工業","-0.69","新台幣                 10.0000元","1633351.00","-88247.00","5158.00","-81921.00"
"1100421","109","4","2498","宏達國際電子股份有限公司","通信網路業","-7.27","新台幣                 10.0000元","5805708.00","-6391393.00","364844.00","-6022598.00"
"1100421","109","4","2501","國泰建設股份有限公司","建材營造","1.28","新台幣                 10.0000元","13973611.00","1551329.00","133955.00","1516787.00"
"1100421","109","4","2504","國產建材實業股份有限公司","建材營造","1.90","新台幣                 10.0000元","18877800.00","2323557.00","382237.00","2550807.00"
"1100421","109","4","2505","國揚實業股份有限公司","建材營造","7.58","新台幣                 10.0000元","14277915.00","5003829.00","155761.00","4943067.00"
"1100421","109","4","2506","太平洋建設股份有限公司","建材營造","-0.15","新台幣                 10.0000元","2949552.00","-23556.00","91365.00","34394.00"
"1100421","109","4","2509","全坤建設開發股份有限公司","建材營造","1.03","新台幣                 10.0000元","1338077.00","334235.00","-64101.00","231789.00"
"1100421","109","4","2511","太子建設開發股份有限公司","建材營造","0.49","新台幣                 10.0000元","11963426.00","171708.00","617704.00","729513.00"
"1100421","109","4","2514","龍邦國際興業股份有限公司","其他","3.05","新台幣                 10.0000元","10776324.00","337179.00","894341.00","1128337.00"
"1100421","109","4","2515","中華工程股份有限公司","建材營造","0.40","新台幣                 10.0000元","13470962.00","375047.00","418185.00","598847.00"
"1100421","109","4","2516","新亞建設開發股份有限公司","建材營造","-3.11","新台幣                 10.0000元","6303705.00","-830673.00","146239.00","-704543.00"
"1100421","109","4","2520","冠德建設股份有限公司","建材營造","6.80","新台幣                 10.0000元","27345405.00","5168832.00","-280033.00","3905137.00"
"1100421","109","4","2524","京城建設股份有限公司","建材營造","4.48","新台幣                 10.0000元","8667849.00","2174701.00","-241777.00","1684892.00"
"1100421","109","4","2527","宏璟建設股份有限公司","建材營造","1.49","新台幣                 10.0000元","3471930.00","408033.00","-11538.00","373736.00"
"1100421","109","4","2528","皇普建設股份有限公司","建材營造","-0.73","新台幣                 10.0000元","1174984.00","-206795.00","-3078.00","-210459.00"
"1100421","109","4","2530","大華建設股份有限公司","建材營造","-0.32","新台幣                 10.0000元","87377.00","-63943.00","-30717.00","-95668.00"
"1100421","109","4","2534","宏盛建設股份有限公司","建材營造","1.12","新台幣                 10.0000元","2771905.00","729879.00","-72660.00","610066.00"
"1100421","109","4","2535","達欣工程股份有限公司","建材營造","3.74","新台幣                 10.0000元","15108083.00","1279902.00","42375.00","1121231.00"
"1100421","109","4","2536","宏普建設股份有限公司","建材營造","1.84","新台幣                 10.0000元","3977450.00","814395.00","-67005.00","612668.00"
"1100421","109","4","2537","聯上開發股份有限公司","建材營造","0.59","新台幣                 10.0000元","1476336.00","211341.00","-29243.00","176390.00"
"1100421","109","4","2538","基泰建設股份有限公司","建材營造","-0.32","新台幣                 10.0000元","506739.00","-25866.00","-86450.00","-125610.00"
"1100421","109","4","2539","櫻花建設股份有限公司","建材營造","1.48","新台幣                 10.0000元","4616492.00","1051119.00","-18463.00","822140.00"
